year,GDP World,GDP World forecast
1974,30.71277900056207,
1975,30.718031901525706,
1976,30.768860575113017,
1977,30.808258492335256,
1978,30.84833666552952,
1979,30.88930941480505,
1980,30.90795018304867,
1981,30.927031138543384,
1982,30.929992125457666,
1983,30.955525349464704,
1984,31.00120898688292,
1985,31.03756795846595,
1986,31.07053219352411,
1987,31.107101572969167,
1988,31.151995836426657,
1989,31.18849346226403,
1990,31.215763639074478,
1991,31.228243702026997,
1992,31.24823510173786,
1993,31.266202477436202,
1994,31.29890141654159,
1995,31.329281382314168,
1996,31.364404156784826,
1997,31.402948813202407,
1998,31.431088408304674,
1999,31.46597008058387,
2000,31.51028447953188,
2001,31.530336123556598,
2002,31.553103342193058,
2003,31.583674017497582,
2004,31.627396685998196,
2005,31.666673800544352,
2006,31.71014309774687,
2007,31.752946584039023,
2008,31.773361728932755,
2009,31.759711161525153,
2010,31.80401074356209,
2011,31.83674055842292,
2012,31.863471240624122,
2013,31.89174982706745,
2014,31.922510527230354,
2015,31.95329319759611,
2016,31.98110831822721,
2017,32.01512550802282,
2018,32.04746309623359,
2019,32.07354222458311,
2020,32.04378335588579,
2021,32.104500691375684,
2022,32.13492909079097,
2023,32.16175925491047,
2024,,31.872970105774172
2025,,31.903235475253872
2026,,31.918732708898258
2027,,31.942403267266837
2028,,31.97113058570347
