year,Manufacture World,Unemployment World Forecast
2000,1154.7700000000002,
2001,1140.62,
2002,1154.8699999999994,
2003,1210.19,
2004,1289.63,
2005,1329.39,
2006,1401.24,
2007,1467.73,
2008,1468.2799999999995,
2009,1363.66,
2010,1468.0999999999992,
2011,1515.5699999999993,
2012,1533.9400000000005,
2013,1565.0200000000004,
2014,1612.7799999999995,
2015,1653.0700000000002,
2016,1678.7399999999993,
2017,1717.1099999999992,
2018,1767.33,
2019,1775.7299999999996,
2020,1722.1499999999994,
2021,1853.2199999999993,
2022,1887.4499999999994,
2023,1922.6100000000006,
2024,,1869.3876791577388
2025,,1857.7173268419538
2026,,1846.4295118018226
2027,,1835.5098880680848
2028,,1824.9447443335855
